YYYY/MM/DD,HH:MM:SS,PM2.5
2024/04/01,07:00:00,63.06
2024/04/01,08:00:00,69.45
2024/04/01,09:00:00,79.26
2024/04/01,10:00:00,105.86
2024/04/01,11:00:00,60.58
2024/04/01,12:00:00,44.88
2024/04/01,13:00:00,38.38
2024/04/01,14:00:00,35.58
2024/04/01,15:00:00,34.72
2024/04/01,16:00:00,34.76
2024/04/01,17:00:00,38.48
2024/04/01,18:00:00,44.51
2024/04/01,19:00:00,47.75
2024/04/01,20:00:00,52.14
2024/04/01,21:00:00,56.4
2024/04/01,22:00:00,58.52
2024/04/01,23:00:00,60.14
2024/04/02,00:00:00,61.76
2024/04/02,01:00:00,63.86
2024/04/02,02:00:00,65.21
2024/04/02,03:00:00,66.13
2024/04/02,04:00:00,68.06
2024/04/02,05:00:00,69.65
2024/04/02,06:00:00,70.8
2024/04/02,07:00:00,73.78
2024/04/02,08:00:00,80.77
2024/04/02,09:00:00,93.48
2024/04/02,10:00:00,120.94
2024/04/02,11:00:00,66.03
2024/04/02,12:00:00,45.87
2024/04/02,13:00:00,37.55
2024/04/02,14:00:00,38.46
2024/04/02,15:00:00,44.2
2024/04/02,16:00:00,45.49
2024/04/02,17:00:00,45.33
2024/04/02,18:00:00,48.91
2024/04/02,19:00:00,51.44
2024/04/02,20:00:00,53.75
2024/04/02,21:00:00,56.9
2024/04/02,22:00:00,58.48
2024/04/02,23:00:00,60.55
2024/04/03,00:00:00,64.77
2024/04/03,01:00:00,71.37
2024/04/03,02:00:00,79.98
2024/04/03,03:00:00,88.42
2024/04/03,04:00:00,94.21
2024/04/03,05:00:00,97.06
2024/04/03,06:00:00,99.85
2024/04/03,07:00:00,105.51
2024/04/03,08:00:00,112.51
2024/04/03,09:00:00,125.52
2024/04/03,10:00:00,149.11
2024/04/03,11:00:00,95.76
2024/04/03,12:00:00,79.03
2024/04/03,13:00:00,68.75
2024/04/03,14:00:00,60.75
2024/04/03,15:00:00,57.13
2024/04/03,16:00:00,54.04
2024/04/03,17:00:00,55.87
2024/04/03,18:00:00,64.17
2024/04/03,19:00:00,70.2
2024/04/03,20:00:00,72.6
2024/04/03,21:00:00,75.92
2024/04/03,22:00:00,78.83
2024/04/03,23:00:00,76.97
2024/04/04,00:00:00,74.19
2024/04/04,01:00:00,72.57
2024/04/04,02:00:00,68.59
2024/04/04,03:00:00,64.73
2024/04/04,04:00:00,63.54
2024/04/04,05:00:00,63.41
2024/04/04,06:00:00,62.49
2024/04/04,07:00:00,63.83
2024/04/04,08:00:00,70.74
2024/04/04,09:00:00,82.71
2024/04/04,10:00:00,104.83
2024/04/04,11:00:00,81.22
2024/04/04,12:00:00,69.8
2024/04/04,13:00:00,61.93
2024/04/04,14:00:00,55.94
2024/04/04,15:00:00,53.59
2024/04/04,16:00:00,49.73
2024/04/04,17:00:00,50.71
2024/04/04,18:00:00,57.24
2024/04/04,19:00:00,61.65
2024/04/04,20:00:00,62.96
2024/04/04,21:00:00,65.59
2024/04/04,22:00:00,68.47
2024/04/04,23:00:00,67.85
2024/04/05,00:00:00,65.42
2024/04/05,01:00:00,62.94
2024/04/05,02:00:00,61.96
2024/04/05,03:00:00,61.71
2024/04/05,04:00:00,61.07
2024/04/05,05:00:00,59.72
2024/04/05,06:00:00,58.98
2024/04/05,07:00:00,61.05
2024/04/05,08:00:00,65.96
2024/04/05,09:00:00,75.44
2024/04/05,10:00:00,101.85
2024/04/05,11:00:00,86.94
2024/04/05,12:00:00,86.8
2024/04/05,13:00:00,83.67
2024/04/05,14:00:00,65.6
2024/04/05,15:00:00,52.77
2024/04/05,16:00:00,46.7
2024/04/05,17:00:00,49.17
2024/04/05,18:00:00,58.06
2024/04/05,19:00:00,64.47
2024/04/05,20:00:00,66.92
2024/04/05,21:00:00,67.35
2024/04/05,22:00:00,66.74
2024/04/05,23:00:00,64.29
2024/04/06,00:00:00,61.69
2024/04/06,01:00:00,59.71
2024/04/06,02:00:00,57.99
2024/04/06,03:00:00,56.96
2024/04/06,04:00:00,57.36
2024/04/06,05:00:00,57.78
2024/04/06,06:00:00,57.76
2024/04/06,07:00:00,58.9
2024/04/07,08:00:00,70.99
2024/04/07,09:00:00,77.71
